Tue Apr 28 21:08:27 +0000 2020, --> ,RTs: 0, --> ,China actually owns America. We are fighting to redeem it. Nancy and the left the media work for the Chinese government. Wake up America. Do you honestly think this is about a virus??? 
Tue Apr 28 21:08:25 +0000 2020, --> ,RTs: 0, --> ,#coronavirus #CCPvirus #virusprobe Exclusive: documents reveal delay in CCP virus measures; Virus situation worsens in Chinese province 383241 views•Premiered 19 hours ago https://t.co/54qn8JASFb 
Tue Apr 28 21:08:23 +0000 2020, --> ,RTs: 0, --> ,#SooninAJPH Policy Lessons from Early Reactions to the COVID-19 Virus in China Review of #diseasecontrol actions that #Chinese central govt took &amp; structural #healthsystem limitations highlighted as epidemic expanded @PublicHealth @AMJPublicHealth #policy #COVID19 #publichealth 
Tue Apr 28 21:08:02 +0000 2020, --> ,RTs: 0, --> ,@EbongJc China is playing games pushing back on source of virus threatening Australia chinese wont buy its meat alleging US army caused virus and its poor policies made it worse!  Me: l totally support worldwide calling out of china and nations should sue! 
Tue Apr 28 21:08:02 +0000 2020, --> ,RTs: 0, --> ,Dear ... @DrTedros   Please to Die! Because you are a Chinese virus.  That is the cause of death unemployment economic collapse because WHO. Collaborated with China to conceal information.  You must show responsibility by dying only.  Not Regards   Thailand  April 28 2020 https://t.co/BiNevqsjcO 
Tue Apr 28 21:07:54 +0000 2020, --> ,RTs: 0, --> ,Is the CCP virus pandemic more likely to make you BUY AMERICAN not Chinese products? 
Tue Apr 28 21:07:51 +0000 2020, --> ,RTs: 0, --> ,Chinese Virus - Impairs Public Health  Chinese Drones - Impairs our Liberty   I’m against both.  Why aren’t some local governments? https://t.co/3bDRRpcrnf 
Tue Apr 28 21:07:47 +0000 2020, --> ,RTs: 0, --> ,China has not shared any #COVID19 virus or clinical samples to the best of our knowledge. The United States is calling on the Chinese Communist Party to be transparent with the world so that we can combat the #coronavirus and prevent future pandemics of this scale. https://t.co/9ktNtj1VJy 
Tue Apr 28 21:07:40 +0000 2020, --> ,RTs: 0, --> ,Joe Biden sided with the Chinese when President Trump accurately called it a Chinese virus.   He's been parroting Chinese propaganda while China is actively engaging in a campaign to spread misinformation.  https://t.co/Bx7pilCCaM 
Tue Apr 28 21:07:39 +0000 2020, --> ,RTs: 0, --> ,@ForthepeopleF @JeffFlake @TheRickWilson Pathetic the media isn't supposed to be political hacks! That's what they are! This Chinese virus isn't what the demon-rat's wanted they wanted it to really be bad! Well it's not and they're sham of a flu is weak!! Just like they're Russia and all they're games!!!🇺🇸🕎🕊🚂🚂🚂😎 
Tue Apr 28 21:07:02 +0000 2020, --> ,RTs: 0, --> ,Virus Likely to Keep Coming Back Each Year Say Top Chinese Scientists https://t.co/O3fHlMPiIZ 
Tue Apr 28 21:06:45 +0000 2020, --> ,RTs: 0, --> ,They just don't stop do they?! It's time to truly stand up to the Chinese Communist Party.  China resumes cross removals as virus subsides- https://t.co/Py1rsQ1UFN https://t.co/PTJFKjpUAz 
Tue Apr 28 21:06:43 +0000 2020, --> ,RTs: 1, --> ,@jenniferatntd @xp3ctat0r China must pay for the deaths and economic sabotage it did for spreading wuhan chinese virus to the world and lying all about it 
Tue Apr 28 21:06:42 +0000 2020, --> ,RTs: 2, --> ,#QAnon #Q #WWG1WGA #FollowTheMoney #JackDorsey  This is a super awkward interview with a scraggly looking Jack Dorsey. He's moving $1.3 billion using a google spreadsheet for transparency for the Chinese Wuhan Virus.   How much you want to bet the $ ends up in China? https://t.co/UjARayPV9Q 
Tue Apr 28 21:11:57 +0000 2020, --> ,RTs: 1, --> ,As a Korean Canadian.... It's pretty weird to go from 'ew what's kimchi your lunch is stinky and Ur eyes look funny' to 'haha kpop oppar Ur culture is so sexy I wanna fuck a Korean' to 'everyone Asian has the virus Ur stinky' back to 'wow sexy dictator lady' 
